", first of all,","TP-EUFRLD",4
", first of all,","TP*-EUFRLD",4
", for lack of a better term,","TPHR*-ERPL",27
", for lack of a better word, ","TPHRO*-RD",13
", furthermore,","TP*-URPLTD",23
", I think,","#*-EU7BG",1
", if any,","TP-FRPBD",6
", in a nutshell, ","TPHA*-URBLT",10
", in a nutshell, ","TPHA*-URBLTD",0
", in other words,","TPHO-ERDZ",307
", in short,","STPHO*-RT",66
", isn't it, ","ST*-EUPBTD",38
", isn't it,","ST*-EUPBD",4
", kind of,","KAO*-EUFD",44
", more or less, ","PHO-ERLSZ",17
", moreover, ","PHO*-EFRD",95
", namely, ","TPHA*-EUPLD",78
", on the contrary,","KRA-ERD",7
", so","SWO-B",11
", so to speak,","STO*-PS",25
", Texas,","T*-BGSZ",17
", to my knowledge, ","T*-EUPBLGD",7
", to your knowledge, ","T*-URPBLGD",18
", you know,","A*-URB",0
", you know, ","A*-UP",13
",000{@DOLLAR(ASIS)}","THO*-UDZ",89
".  Correct?{A}","KR*-EBGTD/-FRPBLGTS",88
".^ iPhone","P-P/AO-EUFPB",1
".{A}","*-FRPBLGTS",21
"?{Q}Yes","STKPWHR-E",117
"?<>A.>I think we did.<>Q.>When was that?<>A.>","'-FRPBLGTS/*-EUPBG/W-ERPLS/STKPWHR/WHA-FS/THA/-FRPBLGTS",0
"[","PWRA*-BGT",4
"[2051|the contract]","#KR-9",14
"[2052|the cell]","#KR-8",6
"[2072|the ideal]","#KWR-8",9
"[4800|the holy]","#40-E8",0
"[the hole|408]","#40-8",0
"[you don't answer|the onset]","TKWRO-PBS",4
"{A}","'-FRPBGTS",208
"{A}","'-FPBLGT",29
"{A}","'-FPBLTS",22
"{A}","'-FRPBLTS",178
"{A}All right.  ","HR-FRPBLGTS",85
"{A}Correct.  ","KR-FRPBLGTS",453
"{A}Huh-huh.  ","#4*-6R7B8G9S",25
"{A}I don't know.  ","KWRO*-FRPBLGTS",16
"{A}No, I did not","TKPH*-FRPBLGTS",19
"{A}No, I didn't","TKPH-FRPBLGTS",41
"{A}Okay.  ","K-FRPBLGTS",372
"{A}Right.  ","R-FRPBLGTS",313
"{A}That is correct.  ","TKR-FRPBLGTS",10
"{A}That's correct.  ","TKR*-FRPBLGTS",23
"{A}Uh-huh.  ","#4-6R7B8G9S",105
"{A}Yes, I did","TKWR-FRPBLGTS",31
"{A}Yes, I do","KWRAO-FRPBLGTS",72
"{A}Yes, ma'am,","KWR*-FRPBLGTS",55
"{Q}All right, sir.  ","STKPWHR-RTS",50
"{Q}All right.  ","STKPWHR*-RT",129
"{Q}All right.","STKPWHRAO*-R",22
"{Q}All right.  ","STKPWHR-RT",348
"--{Q}All right.{A}--","TA-EURB/STKPWHRAO/HR*-RT/-EUFRPBLGTS/TKA-EURB",0
"{Q}Correct.  ","STKPWHR-RBG",28
"{Q}Did he ever","SPWHR*-EFR",0
"{Q}Did he have","SPWHR*-EF",6
"{Q}Did he have a","#13W4R*-E6",2
"{Q}Did he have the","SPWHR*-EFT",2
"{Q}Did you ever","SPWHR*-UFR",13
"{Q}Did you have","SPWHR*-UF",2
"{Q}Did you have","SPWHR*-UFT",0
"{Q}Did you have a","#13W4R*-U6",1
"{Q}Do","SPWHRAO",3
"{Q}Do you","SPWHRAO-U",6
"{Q}Do you agree","STKPWHRAO-URG",2
"{Q}Do you agree","SPWHRAO-URG",0
"{Q}Do you believe","SPWHRAO-UBL",1
"{Q}Do you have any","STKPWHRAO*-UFSZ",10
"{Q}Do you have anything","STKPWHRAO*-UFGSZ",2
"{Q}Do you recall","SPWHRAO-URL",3
"{Q}Do you recognize","STKPWHRAO*-URGZ",22
"{Q}Do you recognize","SPWHRAO*-URGZ",4
"{Q}Do you recognize this document","STKPWHRAO*-URGDZ",16
"{Q}Do you recognize this document","SPWHRAO*-URGDZ",1
"{Q}Do you remember","SPWHRAO-URPL",3
"{Q}Do you see","STKPWHRAO-UZ",9
"{Q}Do you see","SPWHRAO-UZ",2
"{Q}Do you think","STKPWHRAO*-UPBG",12
"{Q}Do you think","SPWHRAO*-UPBG",0
"{Q}Okay.  ","STKPWHR-BG",1803
"{Q}What","STKPWHR-FB",16
"{Q}What","STKPWHA",24
"{Q}What are","STKPWHA-R",2
"{Q}What do","STKPWHA-RPBLGS",6
"{Q}What does","STKPWHA-DZ",0
"{Q}What is","STKPWHR-FBS",5
"{Q}What was","STKPWHA-FS",5
"{Q}What was the","STKPWHA-FTS",0
"{Q}Where","STKPWR",601
"{Q}Who","STKPWHO",17
"{Q}Who are","STKPWHO-R",16
"{Q}Who are the","STKPWHO-RT",14
"{Q}Who is","STKPWHO-S",14
"{Q}Who is the","STKPWHO*-S",11
"{Q}Who was","STKPWHO-FS",4
"{Q}Who were","STKPWHO-RP",12
"{Q}Who were the","STKPWHO-RPT",6
"<>Q.>All right.","STKPWHR*-RTS",11
"<>Q.>Okay.","STKPWHRO-BG",9
"<P1:","SKWRAO",42
"<P4:","'-EURBGS",49
"1,174,000","W-UPB/PH-EUL/W-B/WH-UPB/H-UPB/S-EFT/TPO-UR/THO-U",0
"30(b)(6)","THO-EUB",17
"401(k)","TPO-EUBG",27
"401(k)'s","TPO-EUBGZ",2
"500","TPAO-EUF/H-UPB",2
"a couple guys","KPHRA-GZ",24
"a couple more","KPHRA-RPL",34
"a couple nights ago","KPHRA-PBGTS",8
"a couple of guys","KPHRA-FGZ",37
"a couple of nights ago","KPHRA-FPBGTS",3
"a couple of people","KPHRA-FP",2
"a couple of things","KPHRA*-FRLGZ",44
"a couple of weeks ago","KPHRA-FBGZ",7
"a couple of you","KPHRA-UF",9
"a couple people","KPHRA-PL",26
"a couple things","KPHRA-FRLGZ",46
"a job related to your","A-EU/SKWRO-B/RA-ELTD/TO*-RBG",0
"a little","A-EUGTS",1
"a matter of","SPHO-F",2
"a team","A-EU/TAO-EPL",9
"Aaron","AO*-RPB",49
"abnormalities","A-B/TPHO-RPLTS",0
"abortion","PWAO-RGS",25
"abortions","PWAO-RGSZ",0
"abracadabra","A-B/RA/-P",7
"absentee","A-EBT/AO-E",0
"absentees","A*-EBTS",0
"abuse","PWAO-UZ",0
"Act of Union with","A-BGT/-F/AO-UPB/W",0
"actus reus","A-BGT/-US/RA-EUS",40
"actus reus","A*-BGTS/RA-EUS",79
"Adderall","A-D/RA-L",13
"adjust","SKWRA-UFT",47
"adjusted","SKWRA-UFTD",43
"adjuster","SKWRA-UFRT",5
"adjusters","SKWRA-UFRTS",6
"adjusting","SKWRA-UFGT",23
"adjustment","SKWRA-UFPLT",26
"adjustments","SKWRA-UFPLTS",21
"adjusts","SKWRA-UFTS",1
"advancement in Asia and Europe","SRA-PBS/-PLT/TPH/SKPAO-URP",0
"after I feel","STP-EUFL",7
"after the accident","STP-BGS",182
"after the accident happened","STP-PBGS",20
"after we left","STPW*-EFLT",0
"agile","A/SKWRAO-EUL",1
"agreed-upon date","TKPWRA-ED/PO-PB/TKA-EUT",2
"agreed-upon price","TKPWRA-ED/PO-PB/PRAO-EUS",1
"agricultural","TKPWR-URLT",31
"agriculturally","TKPWR*-URLTD",0
"agriculturally","TKPWR*-ULT",0
"agriculturally","TKPWR*-URLT",13
"albino","A*-L/PWAO-EPB",4
"albino","A*-L/PWAO-EPB/O-E",0
"albino","A*-L/PWAO-EUPB",2
